"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"CWGRABH","0x181b7","Codewort für GRA-Bedienhebel","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort für GRA-Bedienhebel","Codewort für GRA-Bedienhebel","Codewort für GRA-Bedienhebel"
"CWKMMILSCT","0x181b8","Ausgabe "Km bei MIL on"  für Scan Tool abschalten (0 = keine Ausgabe in PID $21)","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Ausgabe "Km bei MIL on"  für Scan Tool abschalten (0 = keine Ausgabe in PID $21)","","Ausgabe "Km bei MIL on"  für Scan Tool abschalten (0 = keine Ausgabe in PID $21)"
"CWKONABG","0x181b9","Codewort für Konfiguration Abgasbehandlung","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Codewort für Konfiguration Abgasbehandlung","Codewort für Konfiguration Abgasbehandlung","Codewort für Konfiguration Abgasbehandlung"
"CWKONFLS","0x181ba","Beschreibung der Lambdasondenposition hinter Katalysator im Abgasstrang","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Beschreibung der Lambdasondenposition hinter Katalysator im Abgasstrang","","Beschreibung der Lambdasondenposition hinter Katalysator im Abgasstrang"
"CWKONLS","0x181bb","Codewort für Konfiguration Lambda Sonden","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","51.0","51.0","0x33","0x33","-","Codewort für Konfiguration Lambda Sonden","Codewort für Konfiguration Lambda Sonden","Codewort für Konfiguration Lambda Sonden"
"CWLSHA","0x181bc","Codewort für Lambdasonden hinter KAT Alterung in %DLSAHK","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort für Lambdasonden hinter KAT Alterung in %DLSAHK","Codewort für Lambdasonden hinter KAT Alterung in %DLSAHK","Codewort für Lambdasonden hinter KAT Alterung in %DLSAHK"
"CWMDAPP","0x181bd","Codewort Applikation ohne Drehmomentfunktionen","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort Applikation ohne Drehmomentfunktionen","Codewort Applikation ohne Drehmomentfunktionen","Codewort Applikation ohne Drehmomentfunktionen"
"CWOBD","0x181be","Codewort für Konfiguration OBD Zertifikationsnachweis","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Codewort für Konfiguration OBD Zertifikationsnachweis","Codewort für Konfiguration OBD Zertifikationsnachweis","Codewort für Konfiguration OBD Zertifikationsnachweis"
"CWSCTMDE","0x181bf","Codewort zum abschalten bestimmter Scan Tool Modes/Services (Bit=0 ->  Mode aus)","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Codewort zum abschalten bestimmter Scan Tool Modes/Services (Bit=0 ->  Mode aus)","","Codewort zum abschalten bestimmter Scan Tool Modes/Services (Bit=0 ->  Mode aus)"
"CWSLS","0x181c0","Codewort für Sekundärluftsystem","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort für Sekundärluftsystem","Codewort für Sekundärluftsystem","Codewort für Sekundärluftsystem"
"CWTF","0x181c1","Codewort für Konfiguration Temperaturfühler","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","Codewort für Konfiguration Temperaturfühler","Codewort für Konfiguration Temperaturfühler","Codewort für Konfiguration Temperaturfühler"
"CWUHR","0x181c2","Codewort für Uhr","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","4.0","4.0","0x4","0x4","-","Codewort für Uhr","Codewort für Uhr","Codewort für Uhr"
"NSWO1","0x181c3","RPM threshhold 1 switchover to computational time conservation","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","4520.0","4520.0","0x71","0x71","-","Drehzahlschwelle 1 Umschaltg. zur Rechenzeitersparnis","Drehzahlschwelle 1 Umschaltg. zur Rechenzeitersparnis","Drehzahlschwelle 1 Umschaltg. zur Rechenzeitersparnis"
"NSWO2","0x181c4","RPM threshhold 2 switchover to computational time conservation","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","7000.0","7000.0","0xaf","0xaf","-","Drehzahlschwelle 2 Umschaltg. zur Rechenzeitersparnis","Drehzahlschwelle 2 Umschaltg. zur Rechenzeitersparnis","Drehzahlschwelle 2 Umschaltg. zur Rechenzeitersparnis"
"-","0x18267","Axis: RPM (knock regulation)","16x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","400.0","6400.0","0xa","0xa0","-","","",""
"-","0x18292","Axis: Load KFLAMKR, KFLAMKRL, KFLAFWL","6x1","8 Bit","-","%","-","-","-","-","0.75","1.0","1.0","80.25","137.25","0x6b","0xb7","-","","",""
"-","0x182b7","Axis: Load (EGT enrich)","12x1","8 Bit","-","%","-","-","-","-","0.75","1.0","1.0","55.5","191.25","0x4a","0xff","-","","",""
"KFFMSML_0_A (AR 1835B)","0x18371","Exhaust backpressure correction of the secondary air mass","8x8","8 Bit","-","-","0x18369","0x18361","%","Upm","0.007813","0.75","40.0","0.0","1.1797630000000001","0x0","0x97","-","Abgasgegendruckkorrektur der Sekundärluftmasse","",""
"-","0x18400","HWNumber","10x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","48.0","55.0","0x30","0x37","-","","",""
"-","0x1840a","SWNumber","10x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","48.0","56.0","0x30","0x38","-","","",""
"CWDLSAHK","0x18663","Code word for probe aging after KAT","1x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Codewort CWDLSAHK für Alterung Sonde hinter KAT","Codewort für Einmalprüfung Alterung Sonde hinter KAT für Applikationszwecke","Codewort CWDLSAHK für Alterung Sonde hinter KAT"
"FHOE","0x18815","Replacement value for alititude","1x1","8 Bit","-","-","-","-","-","-","0.015625","1.0","1.0","1.0","1.0","0x40","0x40","Unchanged?","Ersatzwert für Höhe","Ersatzwert für Höhe","Ersatzwert für Höhe"
"UADPLMN","0x1881e","Min voltage value for diagnosis - boost pressure sensor (limp)","1x1","8 Bit","-","V","-","-","-","-","0.019531","1.0","1.0","0.136717","0.136717","0x7","0x7","-","min. Spannungswert für Diagnose Drucksensor Ladedruck","min. Spannungswert für Diagnose Drucksensor Ladedruck","min. Spannungswert für Diagnose Drucksensor Ladedruck"
"UADPLMX","0x1881f","Max voltage value for diagnosis - boost pressure sensor (limp)","1x1","8 Bit","-","V","-","-","-","-","0.019531","1.0","1.0","4.88275","4.88275","0xfa","0xfa","-","max. Spannungswert für Diagnose Drucksensor Ladedruck","max. Spannungswert für Diagnose Drucksensor Ladedruck","max. Spannungswert für Diagnose Drucksensor Ladedruck"
"UADPUMN","0x18820","Min voltage value for diagnosis - boost pressure sensor","1x1","8 Bit","-","V","-","-","-","-","0.019531","1.0","1.0","0.136717","0.136717","0x7","0x7","-","min. Spannungswert für Diagnose Drucksensor","min. Spannungswert für Diagnose Drucksensor","min. Spannungswert für Diagnose Drucksensor"
"UADPUMX","0x18821","Max voltage value for diagnosis - boost pressure sensor","1x1","8 Bit","-","V","-","-","-","-","0.019531","1.0","1.0","4.88275","4.88275","0xfa","0xfa","-","max. Spannungswert für Diagnose Drucksensor","max. Spannungswert für Diagnose Drucksensor","max. Spannungswert für Diagnose Drucksensor"
"ZDSU","0x1882f","Time constant for filtering from pu and fho in GGDSU","1x1","8 Bit","-","s","-","-","-","-","2.0","1.0","1.0","6.0","6.0","0x3","0x3","sqrt(2) * 2 or no change?","Zeitkonstante für Filterung von pu und fho in GGDSU","Zeitkonstante für Filterung von pu und fho in GGDSU","Zeitkonstante für Filterung von pu und fho in GGDSU"
"FWFTBRTA","0x1886a","Weight of ftbr dependent on IAT","14x1","8 Bit","-","-","0x1885c","0x18859","Grad C","-","0.007813","0.75","1.0","0.85943","1.046942","0x6e","0x86","-","Wichtung ftbr in Abhängigkeit von tans","Wichtung ftbr in Abhängigkeit von tans","Wichtung ftbr in Abhängigkeit von tans"
"KFFWTBR","0x1888c","Weighting factor Tans/Tmot for combustion temperature model","8x10","8 Bit","-","-","0x18884","0x1887a","Upm","%","0.003906","40.0","0.75","0.019530000000000002","0.35154","0x5","0x5a","-","Wichtungsfaktor Tans/Tmot für Brennraumtemperaturmodell","Wichtungsfaktor Tans/Tmot für Brennraumtemperaturmodell","Wichtungsfaktor Tans/Tmot für Brennraumtemperaturmodell"
"KFNW","0x18964","Map for variable cam timing","8x12","8 Bit","-","-","0x1895c","0x18950","%","Upm","0.007813","0.75","40.0","0.0","1.000064","0x0","0x80","-","","","Kennfeld für variable Nockenwellenspreizung"
"KFNWWL","0x189da","Map for variable cam timing during warmup","8x12","8 Bit","-","-","0x189d2","0x189c6","%","Upm","0.007813","0.75","40.0","0.0","1.000064","0x0","0x80","-","","","Kennfeld Nockenwellensteuerung im Warmlauf"
"KFLF (AR 18E30)","0x18a9a","Lambda map at partial load","16x12","8 Bit","-","-","0x18a8a","0x18a7e","%","Upm","0.007813","0.75","40.0","0.8516170000000001","1.023503","0x6d","0x83","-","Lambdakennfeld bei Teillast","Lambdakennfeld bei Teillast","Lambdakennfeld bei Teillast"
"FNSA_0_A","0x18b5a","Afterstart enrich","6x1","8 Bit","-","-","0x182e4","-","Grad C","-","0.007813","0.75","1.0","0.250016","0.500032","0x20","0x40","-","","","Nachstartanhebung"
"FNSA_1_A","0x18b60","Afterstart enrich","6x1","8 Bit","-","-","0x182e4","-","Grad C","-","0.007813","0.75","1.0","0.250016","0.500032","0x20","0x40","-","","","Nachstartanhebung"
"KFWEE (RS4 18E25)","0x18bc7","Map: Injection cutoff angle","8x8","8 Bit","-","Grad KW","0x18c48","0x18c51","Upm","%","6.0","40.0","0.75","150.0","354.0","0x19","0x3b","-","Kennfeld Winkel Einspritzende","Kennfeld Winkel Einspritzende","Kennfeld Winkel Einspritzende"
"KFWEEK (RS4 18E65)","0x18c07","Map: Injection cutoff angle (cold)","8x8","8 Bit","-","Grad KW","0x18c48","0x18c51","Upm","%","6.0","40.0","0.75","150.0","354.0","0x19","0x3b","-","Kennfeld-Kalt Winkel Einspritzende","Kennfeld-Kalt Winkel Einspritzende","Kennfeld-Kalt Winkel Einspritzende"
"KFFWL_0_A (AR 19093)","0x18cef","Map: warm up enrichment factor","12x12","8 Bit","-","-","0x10165","0x1014b","Grad C","Grad C","0.007813","0.75","0.75","0.0","1.4063400000000001","0x0","0xb4","-","Kennfeld Warmlauffaktor","","Kennfeld Warmlauffaktor"
"KFFWL_1_A (AR 19123)","0x18d7f","Map: warm up enrichment factor","12x12","8 Bit","-","-","0x10165","0x1014b","Grad C","Grad C","0.007813","0.75","0.75","0.0","1.4063400000000001","0x0","0xb4","-","Kennfeld Warmlauffaktor","","Kennfeld Warmlauffaktor"
"CWLAMFAW","0x18ecb","Codeword LAMFAW","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Codeword LAMFAW","Codeword LAMFAW","Codeword LAMFAW"
"DLAMFAW","0x18ecc","Threshold for driver requested enrichment","1x1","8 Bit","-","-","-","-","-","-","0.007813","1.0","1.0","0.0","0.0","0x0","0x0","-","Schwellwert für Aktivierung Anfettung über Fahrerwunsch","Schwellwert für Aktivierung Anfettung über Fahrerwunsch","Schwellwert für Aktivierung Anfettung über Fahrerwunsch"
"KFLAFWL","0x18ed4","Offset Lambda-Motor-Soll","6x8","8 Bit","-","-","0x18292","0x18311","%","Grad C","0.0078125","0.75","0.75","0.0","0.0","0x0","0x0","-","Offset Lambda-Motor-Soll","Offset Lambda-Motor-Soll","Offset Lambda-Motor-Soll"
"KFLAMKR","0x18f04","Weighting factor for enrichment on ignition retard","6x6","8 Bit","-","-","0x18292","0x18201","%","Upm","0.007813","0.75","40.0","0.0","1.101633","0x0","0x8d","-","Wichtungsfaktor für Anfettung bei Zündwinkelspätverstellung","Wichtungsfaktor für Anfettung bei Zündwinkelspätverstellung","Wichtungsfaktor für Anfettung bei Zündwinkelspätverstellung"
"KFLAMKRL","0x18f28","Enrichment on ignition retard (AFR)","6x6","8 Bit","-","-","0x18292","0x18f61","%","grad KW","0.114844","0.75","-0.75","13.78128","14.700032","0x78","0x80","-","Anfettung bei Zündwinkelspätverstellung","Anfettung bei Zündwinkelspätverstellung","Anfettung bei Zündwinkelspätverstellung"
"KFLAMKRL","0x18f28","Enrichment on ignition retard","6x6","8 Bit","-","-","0x18292","0x18f61","%","grad KW","0.007813","0.75","-0.75","0.9375600000000001","1.000064","0x78","0x80","-","Anfettung bei Zündwinkelspätverstellung","Anfettung bei Zündwinkelspätverstellung","Anfettung bei Zündwinkelspätverstellung"
"KFFDLBTS_0_A (AR 196A0)","0x19147","Factor delta desired lambda for component protection","16x12","8 Bit","-","%","0x18256","0x182b7","Upm","%","0.007813","40.0","0.75","0.0","1.992315","0x0","0xff","-","Faktor Delta Lambdasoll für Bauteileschutz","",""
"KFLBTS_0_A (AR 19820)","0x19207","Desired Lambda for component protection","16x12","8 Bit","-","-","0x18256","0x182b7","Upm","%","0.007813","40.0","0.75","0.62504","1.000064","0x50","0x80","-","Lambdasoll für Bauteileschutz","",""
"KFLBTS_0_A (AR 19820)","0x19207","Desired AFR for component protection","16x12","8 Bit","-","-","0x18256","0x182b7","Upm","%","0.114844","40.0","0.75","9.18752","14.700032","0x50","0x80","-","Lambdasoll für Bauteileschutz","",""
"CATR","0x192ca","Konfigurationsbyte Abgastemperaturregelung","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Konfigurationsbyte Abgastemperaturregelung","Konfigurationsbyte Abgastemperaturregelung","Konfigurationsbyte Abgastemperaturregelung"
"FKHABMN","0x1937d","Threshold for down regulation of cat heater","1x1","8 Bit","-","-","-","-","-","-","0.003906","1.0","1.0","0.10155600000000001","0.10155600000000001","0x1a","0x1a","-","Schwelle Abregelfaktor Katheizen","Schwelle Abregelfaktor Katheizen","Schwelle Abregelfaktor Katheizen"
"TKHLLAB","0x193b1","Debounce time for end of cat heater cycles per min during idle","1x1","8 Bit","-","s","-","-","-","-","0.1","1.0","1.0","10.0","10.0","0x64","0x64","-","Entprellzeit für Ende Katheizdrehzahl im LL","Entprellzeit für Ende Katheizdrehzahl im LL","Entprellzeit für Ende Katheizdrehzahl im LL"
"DWKRMSN (AR 19DAD)","0x195e4","Delta angle knock regulation offset for average retard","16x1","8 Bit","-","grad KW","0x18278","-","Upm","-","-0.75","40.0","1.0","-1.5","-3.75","0x2","0x5","-","delta Winkel KR Abstand zur gemittelten Spätverstellung","delta Winkel KR Abstand zur gemittelten Spätverstellung","delta Winkel KR Abstand zur gemittelten Spätverstellung"
"KRALH (AR 19DED)","0x19624","Knock regulation - Load hysteresis","1x1","8 Bit","-","%","-","-","-","-","0.75","1.0","1.0","3.75","3.75","0x5","0x5","-","Klopfregeladaption Lasthysterese","Klopfregeladaption Lasthysterese","Klopfregeladaption Lasthysterese"
"KRANH (AR 19DF2)","0x19629","Knock regulation - Engine speed hysteresis","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","120.0","120.0","0x3","0x3","-","Klopfregeladaption Drehzahlhysterese","Klopfregeladaption Drehzahlhysterese","Klopfregeladaption Drehzahlhysterese"
"KRDWSN (AR 19DF3)","0x1962a","Knock regulation delta - angle safety","16x1","8 Bit","-","grad KW","0x18278","-","Upm","-","-0.75","40.0","1.0","-12.0","-12.0","0x10","0x10","-","Klopfregelung delta - Winkel Sicherheit","Klopfregelung delta - Winkel Sicherheit","Klopfregelung delta - Winkel Sicherheit"
"KRFKLN or KRFKN (AR 19e03 or 19e13)","0x1963a","Ignition retard per knock event","16x1","8 Bit","-","grad KW","0x18278","-","Upm","-","-0.75","40.0","1.0","-1.5","-3.0","0x2","0x4","-","Spätverstellung pro Klopfereignis bei langsamer Frühverstellung","Spätverstellung pro Klopfereignis bei langsamer Frühverstellung",""
"KRMXN (AR 19E33)","0x1964a","Maximum ignition retard","16x1","8 Bit","-","grad KW","0x18278","-","Upm","-","-0.75","40.0","1.0","-15.0","-15.0","0x14","0x14","-","maximale Spätverstellung","maximale Spätverstellung","maximale Spätverstellung"
"FTLDIA","0x19707","Factor for adaptation enable debounce time","1x1","8 Bit","-","-","-","-","-","-","0.007813","1.0","1.0","0.750048","0.750048","0x60","0x60","-","Faktor für Entprellzeit Adaptionsfreigabe","Faktor für Entprellzeit Adaptionsfreigabe","Faktor für Entprellzeit Adaptionsfreigabe"
"FTLDIAP","0x19708","Factor for adaptation: rapid positive tracking","1x1","8 Bit","-","-","-","-","-","-","0.007813","1.0","1.0","0.250016","0.250016","0x20","0x20","-","Faktor für Entprellzeit schnelle positive Nachführung","Faktor für Entprellzeit schnelle positive Nachführung","Faktor für Entprellzeit schnelle positive Nachführung"
"KFLDIOPU","0x19709","TV correction due to altitude effect on ambient pressure","8x8","8 Bit","-","%","0x100d3","0x10085","hPa","Upm","0.64","5.0","40.0","0.0","19.84","0x0","0x1f","-","Korrektur der TV-Werte durch Höheneinfluß","Korrektur der TV-Werte durch Höheneinfluß","Korrektur der TV-Werte durch Höheneinfluß"
"KFWPLGTA (AR 19F23)","0x19749","Map for weighting factor of reference boost pressure as a function of IAT","8x8","8 Bit","-","-","0x1010c","0x12ae2","Grad C","U/min","0.007813","0.75","0.25","1.000064","1.000064","0x80","0x80","-","Kennfeld für Wichtungsfaktor Grundladedruck als f(tans)","","Kennfeld für Wichtungsfaktor Grundladedruck als f(tans)"
"LDEIAO","0x19789","Upper regulation deviation threshold for negative adjustment","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","20.0","20.0","0x2","0x2","-","Obere Regelabweichungsschwelle für Negativ-Verstellung","Obere Regelabweichungsschwelle für Negativ-Verstellung","Obere Regelabweichungsschwelle für Negativ-Verstellung"
"LDEIAO","0x19789","Upper regulation deviation threshold for negative adjustment","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","40.0","40.0","0x2","0x2","1/2","Obere Regelabweichungsschwelle für Negativ-Verstellung","Obere Regelabweichungsschwelle für Negativ-Verstellung","Obere Regelabweichungsschwelle für Negativ-Verstellung"
"LDEIAP","0x1978a","Regulation deviation threshold for positive adaption I-Regulation","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","-20.0","-20.0","0xfe","0xfe","-","Regelabweichungsschwelle für  Positiv Adaption I-Regler","Regelabweichungsschwelle für  Positiv Adaption I-Regler","Regelabweichungsschwelle für  Positiv Adaption I-Regler"
"LDEIAP","0x1978a","Regulation deviation threshold for positive adaption I-Regulation","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","-40.0","-40.0","0xfe","0xfe","1/2","Regelabweichungsschwelle für  Positiv Adaption I-Regler","Regelabweichungsschwelle für  Positiv Adaption I-Regler","Regelabweichungsschwelle für  Positiv Adaption I-Regler"
"LDEIAPS","0x1978b","Regulation deviation threshold for rapid positive set point tracing","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","120.0","120.0","0xc","0xc","-","Regelabweichungsschwelle für schnelle Positiv-Nachführung","Regelabweichungsschwelle für schnelle Positiv-Nachführung","Regelabweichungsschwelle für schnelle Positiv-Nachführung"
"LDEIAPS","0x1978b","Regulation deviation threshold for rapid positive set point tracing","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","240.0","240.0","0xc","0xc","1/2","Regelabweichungsschwelle für schnelle Positiv-Nachführung","Regelabweichungsschwelle für schnelle Positiv-Nachführung","Regelabweichungsschwelle für schnelle Positiv-Nachführung"
"LDEIAU","0x1978c","Lower regulation deviation threshold for negative adjustment","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","-100.0","-100.0","0xf6","0xf6","-","Untere Regelabweichungsschwelle für Negativ-Verstellung","Untere Regelabweichungsschwelle für Negativ-Verstellung","Untere Regelabweichungsschwelle für Negativ-Verstellung"
"LDEIAU","0x1978c","Lower regulation deviation threshold for negative adjustment","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","-200.0","-200.0","0xf6","0xf6","1/2","Untere Regelabweichungsschwelle für Negativ-Verstellung","Untere Regelabweichungsschwelle für Negativ-Verstellung","Untere Regelabweichungsschwelle für Negativ-Verstellung"
"LDHIA","0x1978d","Hysteresis for LDR I-Adaption curve","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","120.0","120.0","0x3","0x3","-","Hysterese für LDR I-Adaptionskennlinie","Hysterese für LDR I-Adaptionskennlinie","Hysterese für LDR I-Adaptionskennlinie"
"LDHIA","0x1978d","Hysteresis for I-Adaptation characteristic","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","120.0","120.0","0x3","0x3","-","Hysterese für LDR I-Adaptionskennlinie","Hysterese für LDR I-Adaptionskennlinie","Hysterese für LDR I-Adaptionskennlinie"
"LDIATA","0x1978e","LDR I-Regulator limit correction as a function of IAT","8x1","8 Bit","-","%","0x1010c","-","Grad C","-","0.64","0.75","1.0","-2.56","2.56","0xfc","0x4","-","Korrektur I-Begrenzung LDR PID Rgler als Funktion von Tans","Korrektur I-Begrenzung LDR PID Rgler als Funktion von Tans","Korrektur I-Begrenzung LDR PID Rgler als Funktion von Tans"
"NLDIAPU axis","0x19798","Axis: hPa (NLDIAPU)","2x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","1200.0","2000.0","0x78","0xc8","1/2","Drehzahlschwelle für Adaption I-Begrenzung","Drehzahlschwelle für Adaption I-Begrenzung","Drehzahlschwelle für Adaption I-Begrenzung"
"NLDIAPU","0x1979a","RPM threshold for I-Limit adaptation","2x1","8 Bit","-","Upm","0x19798","-","hPa","-","40.0","5.0","1.0","2160.0","2600.0","0x36","0x41","-","Drehzahlschwelle für Adaption I-Begrenzung","Drehzahlschwelle für Adaption I-Begrenzung","Drehzahlschwelle für Adaption I-Begrenzung"
"STLDIA","0x1979c","RPM boundaries for LDR adaptation","4x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","2800.0","5280.0","0x46","0x84","-","","",""
"TLDIAN","0x197a0","Debounce time for negative I-Adaptation tracking ","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","0.5","0.5","0xa","0xa","-","Entprellzeit für Nachführung I-Adaption negativ","Entprellzeit für Nachführung I-Adaption negativ","Entprellzeit für Nachführung I-Adaption negativ"
"TLDIAPN","0x197a1","Debounce time for negative I-Adaptation tracking","8x1","8 Bit","-","s","0x10085","-","Upm","-","0.05","40.0","1.0","1.1","6.0","0x16","0x78","-","Entprellzeit für Nachführung I-Adaption positiv","Entprellzeit für Nachführung I-Adaption positiv","Entprellzeit für Nachführung I-Adaption positiv"
"UMDYLDR","0x197a9","Changeover deviation threshold for dynamic LDR","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","100.0","100.0","0xa","0xa","-","Umschaltschwelle Dynamik LDR","Umschaltschwelle Dynamik LDR","Umschaltschwelle Dynamik LDR"
"UMDYLDR","0x197a9","Changeover deviation threshold for dynamic LDR","1x1","8 Bit","-","hPa","-","-","-","-","20.0","1.0","1.0","200.0","200.0","0xa","0xa","Divide by 2","Umschaltschwelle Dynamik LDR","Umschaltschwelle Dynamik LDR","Umschaltschwelle Dynamik LDR"
"ELDOB (AR 19FC4)","0x197aa","Regulation deviation threshold for starting LDR overboost active timer","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","50.0","50.0","0x5","0x5","-","Regelabweichungsschwelle für Start Zeitzähler LDR-Overboost activ","Regelabweichungsschwelle für Start Zeitzähler LDR-Overboost activ","Regelabweichungsschwelle für Start Zeitzähler LDR-Overboost activ"
"KFLDRXO","0x197c2","Delta load (rl) under overboost condition","4x8","8 Bit","-","%","0x197be","0x197b6","Grad C","Upm","0.75","0.75","40.0","0.0","0.0","0x0","0x0","-","Delta Füllung (rl) im Overboostbetrieb","Delta Füllung (rl) im Overboostbetrieb","Delta Füllung (rl) im Overboostbetrieb"
"TABLDOBN","0x197e2","Down regulation interval for LDR overboost","8x1","8 Bit","-","s","0x197b6","-","Upm","-","1.0","40.0","1.0","3.0","3.0","0x3","0x3","-","Abregelzeit für LDR-Overboost","Abregelzeit für LDR-Overboost","Abregelzeit für LDR-Overboost"
"TLDOBAN","0x197ea","Time for LDR overboost active","8x1","8 Bit","-","s","0x197b6","-","Upm","-","1.0","40.0","1.0","8.0","12.0","0x8","0xc","-","Zeit für LDR-Overboost aktiv","Zeit für LDR-Overboost aktiv","Zeit für LDR-Overboost aktiv"
"TLDOBN","0x197f2","Off time for overboost","8x1","8 Bit","-","s","0x10085","-","Upm","-","0.05","40.0","1.0","0.0","6.0","0x0","0x78","-","Sperrzeit für LDR-Overboost","Sperrzeit für LDR-Overboost","Sperrzeit für LDR-Overboost"
"KFLDHBN (AR 28238)","0x19816","LDR altitude limitation (maximum pressure ratio)","8x8","8 Bit","-","-","0x1010c","0x197b6","Grad C","Upm","0.015625","0.75","40.0","1.703125","3.0","0x6d","0xc0","-","LDR-Höhenbegrenzung (max. Verdichterdruckverhältnis)","LDR-Höhenbegrenzung (max. Verdichterdruckverhältnis)","LDR-Höhenbegrenzung (max. Verdichterdruckverhältnis)"
"KFLDHBN_PSI","0x19816","LDR altitude limitation (PSI)","8x8","8 Bit","-","PSI","0x1010c","0x197b6","Grad C","Upm","0.226621","0.75","40.0","10.001688999999999","28.811232","0x6d","0xc0","-","","",""
"KFLDHBN_mBar","0x19816","LDR altitude limitation (mBar)","8x8","8 Bit","-","mBar","0x1010c","0x197b6","Grad C","Upm","15.828125","0.75","40.0","1725.265625","3039.0","0x6d","0xc0","-","","",""
"LDORXN (AR 1A016)","0x19856","Maximum load at E_ldo LDR (overboost error)","8x1","8 Bit","-","%","0x197b6","-","Upm","-","0.75","40.0","1.0","90.0","114.75","0x78","0x99","-","Maximalfuellung LDR bei E_ldo (Überladefehler)","Maximalfuellung LDR bei E_ldo (Überladefehler)","Maximalfuellung LDR bei E_ldo (Überladefehler)"
"LDPBN (AR 1A01E)","0x1985e","LDR pressure limit at too high a temperature engine","8x1","8 Bit","-","hPa","0x197b6","-","Upm","-","10.0","40.0","1.0","1350.0","1550.0","0x87","0x9b","-","LDR p-Begrenzung bei zu hoher Motortemperatur","LDR p-Begrenzung bei zu hoher Motortemperatur","LDR p-Begrenzung bei zu hoher Motortemperatur"
"LDPBN (AR 1A01E)","0x1985e","LDR pressure limit at too high a temperature engine","8x1","8 Bit","-","hPa","0x197b6","-","Upm","-","20.0","40.0","1.0","2700.0","3100.0","0x87","0x9b","Leave alone?","LDR p-Begrenzung bei zu hoher Motortemperatur","LDR p-Begrenzung bei zu hoher Motortemperatur","LDR p-Begrenzung bei zu hoher Motortemperatur"
